car_price,age,gender,income,education,marital
6.4,18,Female,Under $25,High school degree,Unmarried
12,18,Male,Under $25,High school degree,Unmarried
12.3,18,Male,$25 - $49,High school degree,Married
6.9,18,Female,Under $25,High school degree,Married
11.1,18,Female,Under $25,High school degree,Married
8.6,18,Male,Under $25,Did not complete high school,Unmarried
9.1,18,Male,Under $25,High school degree,Unmarried
6.6,18,Female,Under $25,High school degree,Unmarried
10.3,19,Female,Under $25,High school degree,Married
5.7,19,Male,Under $25,High school degree,Unmarried
9.9,19,Male,Under $25,High school degree,Unmarried
6.3,19,Male,Under $25,High school degree,Unmarried
7.4,19,Male,Under $25,High school degree,Married
7.8,19,Female,Under $25,High school degree,Married
8.3,19,Female,Under $25,Did not complete high school,Married
13.3,19,Male,$25 - $49,High school degree,Unmarried
7.9,19,Female,Under $25,High school degree,Married
8.9,19,Male,Under $25,High school degree,Married
12.1,19,Male,$25 - $49,High school degree,Unmarried
7.4,19,Female,Under $25,High school degree,Married
10.3,19,Male,Under $25,High school degree,Unmarried
9.4,19,Female,Under $25,High school degree,Married
11.6,19,Male,Under $25,High school degree,Married
9.5,20,Male,Under $25,High school degree,Unmarried
9.6,20,Male,Under $25,High school degree,Married
10.6,20,Female,Under $25,Some college,Unmarried
9.5,20,Female,Under $25,High school degree,Married
7.9,20,Male,Under $25,Some college,Unmarried
16.9,20,Female,$25 - $49,Some college,Unmarried
7,20,Female,Under $25,Did not complete high school,Unmarried
8.6,20,Female,Under $25,Did not complete high school,Married
10.4,20,Female,Under $25,Some college,Married
7.4,20,Male,Under $25,High school degree,Unmarried
9.5,20,Female,Under $25,Some college,Married
9.4,20,Female,Under $25,Did not complete high school,Married
7.1,20,Female,Under $25,Some college,Married
9.4,20,Female,Under $25,Some college,Married
10.1,20,Female,Under $25,Some college,Unmarried
13.2,20,Male,$25 - $49,High school degree,Married
11.4,20,Female,Under $25,Did not complete high school,Married
9.2,20,Female,Under $25,High school degree,Unmarried
10.8,20,Female,Under $25,Some college,Unmarried
16.5,20,Male,$25 - $49,Some college,Married
8.9,20,Male,Under $25,Some college,Unmarried
12.7,20,Female,$25 - $49,Did not complete high school,Married
9.7,20,Female,Under $25,High school degree,Married
16.6,20,Female,$25 - $49,Some college,Unmarried
18.6,21,Male,$25 - $49,Some college,Married
6.3,21,Female,Under $25,Some college,Unmarried
7,21,Male,Under $25,High school degree,Unmarried
13.6,21,Male,$25 - $49,Some college,Unmarried
9.6,21,Male,Under $25,Some college,Married
7,21,Male,Under $25,Did not complete high school,Married
8.9,21,Female,Under $25,High school degree,Unmarried
12.9,21,Male,$25 - $49,Some college,Unmarried
29.7,21,Female,$50 - $74,Some college,Married
18,21,Male,$25 - $49,Some college,Unmarried
13.5,21,Male,$25 - $49,Some college,Married
11.8,21,Male,Under $25,Some college,Unmarried
16.1,21,Female,$25 - $49,High school degree,Married
7.9,21,Male,Under $25,Some college,Unmarried
18.8,21,Male,$25 - $49,High school degree,Unmarried
8.5,21,Male,Under $25,High school degree,Married
9.8,21,Female,Under $25,Did not complete high school,Unmarried
11.6,21,Male,Under $25,Some college,Married
16.7,21,Male,$25 - $49,High school degree,Married
6.6,21,Male,Under $25,Some college,Unmarried
10,21,Male,Under $25,Some college,Married
12,21,Male,Under $25,Some college,Unmarried
9.5,21,Female,Under $25,Some college,Unmarried
12.9,21,Female,$25 - $49,Some college,Married
9.3,21,Female,Under $25,Some college,Married
11.2,21,Male,Under $25,High school degree,Married
12.1,22,Female,$25 - $49,Some college,Married
16.2,22,Male,$25 - $49,High school degree,Married
7.9,22,Female,Under $25,High school degree,Unmarried
9.4,22,Male,Under $25,Did not complete high school,Unmarried
19.1,22,Male,$25 - $49,Some college,Married
10.4,22,Male,Under $25,College degree,Unmarried
8.3,22,Male,Under $25,Some college,Married
12.6,22,Male,$25 - $49,High school degree,Unmarried
6.8,22,Male,Under $25,Some college,Unmarried
10.3,22,Male,Under $25,Did not complete high school,Unmarried
9.4,22,Male,Under $25,Did not complete high school,Married
10.3,22,Male,Under $25,Some college,Unmarried
9.5,22,Female,Under $25,Did not complete high school,Unmarried
11,22,Male,Under $25,High school degree,Unmarried
37,22,Female,$75+,Some college,Married
10,22,Female,Under $25,Did not complete high school,Married
49.5,22,Female,$75+,College degree,Unmarried
25,22,Female,$25 - $49,College degree,Unmarried
13.7,22,Male,$25 - $49,High school degree,Married
12.3,22,Male,Under $25,Did not complete high school,Married
12.2,22,Female,Under $25,Some college,Married
7.9,22,Female,Under $25,College degree,Unmarried
10.9,22,Female,Under $25,Did not complete high school,Unmarried
10.3,22,Female,Under $25,Some college,Unmarried
9.6,22,Male,Under $25,Some college,Unmarried
7.5,22,Male,Under $25,High school degree,Unmarried
12.7,22,Male,$25 - $49,Some college,Unmarried
13.1,22,Male,$25 - $49,College degree,Married
11.3,22,Male,Under $25,College degree,Unmarried
14.4,22,Male,$25 - $49,Did not complete high school,Unmarried
13.5,22,Male,$25 - $49,High school degree,Unmarried
14.7,22,Male,$25 - $49,Some college,Married
11.7,22,Female,Under $25,Did not complete high school,Unmarried
9.3,23,Female,Under $25,Did not complete high school,Unmarried
11.7,23,Male,Under $25,Some college,Unmarried
13.8,23,Male,$25 - $49,College degree,Married
9.4,23,Male,Under $25,Some college,Unmarried
9.5,23,Female,Under $25,Some college,Married
10.2,23,Female,Under $25,Some college,Unmarried
10.8,23,Female,Under $25,Some college,Married
35.1,23,Female,$50 - $74,College degree,Married
27.8,23,Male,$50 - $74,College degree,Unmarried
12.6,23,Male,$25 - $49,Did not complete high school,Unmarried
15.3,23,Female,$25 - $49,Some college,Married
8.4,23,Female,Under $25,College degree,Married
8.6,23,Female,Under $25,College degree,Unmarried
15.8,23,Female,$25 - $49,College degree,Married
